Symbol,GICS Sector,Headquarters Location,Founded
MMM,Industrials,"Saint Paul, Minnesota",1902
AOS,Industrials,"Milwaukee, Wisconsin",1916
ABT,Health Care,"North Chicago, Illinois",1888
ABBV,Health Care,"North Chicago, Illinois",2013 (1888)
ABMD,Health Care,"Danvers, Massachusetts",1981
ACN,Information Technology,"Dublin, Ireland",1989
ATVI,Communication Services,"Santa Monica, California",2008
ADM,Consumer Staples,"Chicago, Illinois",1902
ADBE,Information Technology,"San Jose, California",1982
ADP,Information Technology,"Roseland, New Jersey",1949
AAP,Consumer Discretionary,"Raleigh, North Carolina",1932
AES,Utilities,"Arlington, Virginia",1981
AFL,Financials,"Columbus, Georgia",1955
A,Health Care,"Santa Clara, California",1999
APD,Materials,"Allentown, Pennsylvania",1940
AKAM,Information Technology,"Cambridge, Massachusetts",1998
ALK,Industrials,"SeaTac, Washington",1985
ALK,Industrials,"SeaTac, Washington",1985
ALB,Materials,"Charlotte, North Carolina",1994
ARE,Real Estate,"Pasadena, California",1994
ALGN,Health Care,"San Jose, California",1997
ALLE,Industrials,"New York City, New York",1908
LNT,Utilities,"Madison, Wisconsin",1917
ALL,Financials,"Northfield Township, Illinois",1931
GOOGL,Communication Services,"Mountain View, California",1998
GOOGL,Communication Services,"Mountain View, California",1998
GOOG,Communication Services,"Mountain View, California",1998
GOOG,Communication Services,"Mountain View, California",1998
MO,Consumer Staples,"Richmond, Virginia",1985
AMZN,Consumer Discretionary,"Seattle, Washington",1994
AMCR,Materials,"Warmley, Bristol, United Kingdom",2019 (1860)
AMD,Information Technology,"Santa Clara, California",1969
AEE,Utilities,"St. Louis, Missouri",1902
AAL,Industrials,"Fort Worth, Texas",1934
AAL,Industrials,"Fort Worth, Texas",1934
AEP,Utilities,"Columbus, Ohio",1906
AXP,Financials,"New York City, New York",1850
AIG,Financials,"New York City, New York",1919
AMT,Real Estate,"Boston, Massachusetts",1995
AWK,Utilities,"Camden, New Jersey",1886
AMP,Financials,"Minneapolis, Minnesota",1894
ABC,Health Care,"Chesterbrook, Pennsylvania",1985
AME,Industrials,"Berwyn, Pennsylvania",1930
AMGN,Health Care,"Thousand Oaks, California",1980
APH,Information Technology,"Wallingford, Connecticut",1932
ADI,Information Technology,"Wilmington, Massachusetts",1965
ANSS,Information Technology,"Canonsburg, Pennsylvania",1969
AON,Financials,"London, UK",1982 (1919)
APA,Energy,"Houston, Texas",1954
AAPL,Information Technology,"Cupertino, California",1977
